age,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,job_n,marital_n,education_n,default_n,housing_n,loan_n,poutcome_n
40,1.4,93.918,-42.7,4.96,3,0,3,1,1,0,0
31,-1.8,92.893,-46.2,1.244,2,0,6,0,0,0,0
59,-1.8,92.893,-46.2,1.354,5,0,0,0,0,0,1
43,1.4,93.918,-42.7,4.961,0,2,3,0,1,0,0
39,1.1,93.994,-36.4,4.86,2,1,1,1,0,0,0
33,-1.8,93.075,-47.1,1.405,6,0,3,0,0,0,0
35,-1.8,92.893,-46.2,1.354,2,0,4,0,1,0,0
36,1.1,93.994,-36.4,4.857,3,1,3,1,0,0,0
36,1.1,93.994,-36.4,4.857,3,0,3,0,1,0,0
28,1.4,93.918,-42.7,4.962,4,1,6,0,1,0,0
47,-0.1,93.2,-42.0,4.153,0,2,4,0,0,1,1
50,-0.1,93.2,-42.0,4.076,10,0,0,1,1,0,0
39,1.4,94.465,-41.8,4.864,3,0,2,0,1,0,0
48,1.1,93.994,-36.4,4.859,2,1,6,0,0,1,0
52,1.4,93.918,-42.7,4.963,3,2,0,0,1,0,0
43,-2.9,92.963,-40.8,1.262,2,0,6,0,1,0,0
36,-1.8,93.369,-34.8,0.654,6,0,6,0,0,0,1
33,-0.1,93.2,-42.0,4.12,6,0,6,0,0,0,1
35,1.4,93.918,-42.7,4.962,6,0,6,0,0,0,0
54,-1.8,93.075,-47.1,1.365,0,0,1,0,1,0,0
32,1.1,93.994,-36.4,4.856,1,1,1,0,1,0,0
32,-1.8,92.893,-46.2,1.281,3,1,3,1,1,0,1
36,-2.9,92.963,-40.8,1.252,4,1,4,0,1,0,0
33,1.4,94.465,-41.8,4.959,3,2,2,1,0,0,0
28,-1.8,93.075,-47.1,1.405,11,0,6,1,1,0,0
32,-1.8,92.893,-46.2,1.299,2,0,2,0,1,0,1
26,-1.8,92.893,-46.2,1.327,1,1,6,0,1,0,1
38,1.1,93.994,-36.4,4.857,7,1,1,0,1,0,0
